sample_index	class_er_plus_1	gata3_probe	xbp1_probe	biplot_second_gene	biplot_second_probe	pc1_full_matrix	pc2_full_matrix	pc1_two_gene_raw_pca
0	1	4359	4404	CCNB2	4459	-19.98637375866959	56.11458183437363	1.8961373704057038
1	0	4359	4404	CCNB2	4459	73.32682406820136	-12.807086136630728	-2.437734489180669
2	0	4359	4404	CCNB2	4459	-32.29059505542261	-12.87191025914512	-0.704832638645501
3	1	4359	4404	CCNB2	4459	-12.032331315138284	71.22507730859934	2.459217380021175
4	1	4359	4404	CCNB2	4459	-27.493008560971422	31.770259308121542	2.077421769379379
5	1	4359	4404	CCNB2	4459	-18.225942525802463	36.817355211057205	2.0477984308153347
6	1	4359	4404	CCNB2	4459	-0.5084433441272017	50.19295651798491	2.3045920868583156
7	0	4359	4404	CCNB2	4459	46.139754893559434	-20.157718865412622	-0.801469378427787
8	1	4359	4404	CCNB2	4459	-28.098908070728342	4.271800175434552	0.9820417279129825
9	0	4359	4404	CCNB2	4459	-13.525720083745425	-21.841925115532412	0.051303845338229515
10	1	4359	4404	CCNB2	4459	-8.796093690871315	67.81287293891695	2.4620493004829154
11	1	4359	4404	CCNB2	4459	-45.273752269891595	-19.947960351813656	0.4162873206958069
12	1	4359	4404	CCNB2	4459	-9.193153422528741	39.23338274611987	0.12269630059172809
13	0	4359	4404	CCNB2	4459	55.21372938561968	-29.490751677346037	-3.2345208117500728
14	0	4359	4404	CCNB2	4459	-24.445095512752932	40.94632897789645	1.5550851710988405
15	1	4359	4404	CCNB2	4459	-43.06418437788713	25.381406946034865	3.6062654846748057
16	0	4359	4404	CCNB2	4459	53.24144700060771	-8.930684525673112	-1.1267036532674277
17	1	4359	4404	CCNB2	4459	-19.82383947391162	76.44190179360709	2.8825610996998723
18	1	4359	4404	CCNB2	4459	-16.50259517978384	66.46897738613146	2.0879727873145058
19	0	4359	4404	CCNB2	4459	-13.154421402669628	-24.01625792952971	-0.4214090964806103
20	0	4359	4404	CCNB2	4459	58.83894827286212	-15.206103150161264	-3.548911062251331
21	1	4359	4404	CCNB2	4459	-38.79269797950697	51.629760463530964	0.969667029205298
22	0	4359	4404	CCNB2	4459	-16.391660706956092	-44.010676754910115	1.9834752884236146
23	0	4359	4404	CCNB2	4459	61.39463039703054	-17.76857048200091	-1.612587649179298
24	1	4359	4404	CCNB2	4459	-15.401525293226737	-50.092207352255706	1.4304837665562262
25	1	4359	4404	CCNB2	4459	-24.972668770696053	-54.408018817516165	1.294867955683626
26	1	4359	4404	CCNB2	4459	-33.753580018866295	12.146672308570373	1.4269105476472466
27	0	4359	4404	CCNB2	4459	-33.55213164833666	-73.8616022002281	-1.6812436955159098
28	0	4359	4404	CCNB2	4459	27.850833570833785	27.978310265302753	-0.6031376103513983
29	0	4359	4404	CCNB2	4459	50.61485150074698	46.85623013755508	0.38961049622133537
30	0	4359	4404	CCNB2	4459	-15.451534011588453	14.019173627599137	0.2073403142850745
31	1	4359	4404	CCNB2	4459	-22.8326981357172	-7.221671567819248	0.7395441923183208
32	0	4359	4404	CCNB2	4459	64.87819806420916	-20.094225879064357	-1.4428920056033627
33	0	4359	4404	CCNB2	4459	37.25425513111666	-68.36441272668483	-3.6368559983621562
34	1	4359	4404	CCNB2	4459	-32.469912585883925	-28.190449684027072	-0.29251912188899176
35	0	4359	4404	CCNB2	4459	7.243802107670962	17.13409198949927	0.7978966750120939
36	0	4359	4404	CCNB2	4459	5.486055994696834	8.735963538877487	-0.589568624333912
37	1	4359	4404	CCNB2	4459	-72.01621758921404	-0.15591834572895025	0.8126442336699196
38	0	4359	4404	CCNB2	4459	16.042566866352217	-74.69007324270191	-2.7485296608937793
39	0	4359	4404	CCNB2	4459	0.09666385352156494	-10.69541448634283	-0.5840366094784888
40	0	4359	4404	CCNB2	4459	58.43142132478025	-7.16209180415147	-1.9533453315422433
41	1	4359	4404	CCNB2	4459	-8.434798208141492	41.00719222494118	1.65437081508274
42	0	4359	4404	CCNB2	4459	62.63773059087906	-34.75968709502717	-3.421084469258807
43	0	4359	4404	CCNB2	4459	12.82003182701457	6.529181850733153	-0.393520195521077
44	1	4359	4404	CCNB2	4459	14.966737988138842	7.52328494284015	0.9137821405894755
45	0	4359	4404	CCNB2	4459	50.85837824728543	-42.2944943916959	-3.215416820195049
46	1	4359	4404	CCNB2	4459	-31.904029193631008	3.389147048899016	2.1694597200423846
47	1	4359	4404	CCNB2	4459	6.56498305832534	24.647633857931428	0.1292728325962107
48	1	4359	4404	CCNB2	4459	16.83931665118608	24.794174846936244	1.4196807248583685
49	0	4359	4404	CCNB2	4459	85.57418949659875	-45.170863810584116	-1.6082362767229943
50	0	4359	4404	CCNB2	4459	47.85785150356089	30.457031079841858	-1.1604924710185975
51	0	4359	4404	CCNB2	4459	16.420109453711774	-28.538058304827615	-0.7860952124654632
52	0	4359	4404	CCNB2	4459	86.70306723021294	10.403586633631937	-2.0511406133892667
53	0	4359	4404	CCNB2	4459	-63.41192718719154	-42.33043160978444	1.159154841025933
54	1	4359	4404	CCNB2	4459	-21.227747424935984	6.752632842188276	0.7784491817900663
55	0	4359	4404	CCNB2	4459	-37.87713943413784	-28.318929851039403	-1.0902245139742175
56	0	4359	4404	CCNB2	4459	70.6167272215051	-6.734159192269545	-3.378917690367354
57	0	4359	4404	CCNB2	4459	48.657622353652975	-36.07828928963657	-0.30364520054433175
58	1	4359	4404	CCNB2	4459	-14.448040753829217	33.52379754160549	1.8184024502746654
59	0	4359	4404	CCNB2	4459	29.335371911528203	11.120338351849268	-1.726411274682114
60	0	4359	4404	CCNB2	4459	-45.29787368333279	14.181271857848692	0.06977222104507064
61	1	4359	4404	CCNB2	4459	-8.933510155067216	-34.978662678015745	-1.9714608203069919
62	0	4359	4404	CCNB2	4459	-7.629645961716339	-53.36859679273918	-2.865115737086539
63	1	4359	4404	CCNB2	4459	2.901892429173213	-1.323744045684528	1.2472048748655054
64	0	4359	4404	CCNB2	4459	110.30529720334177	-2.175425005144696	-2.9964048669656593
65	1	4359	4404	CCNB2	4459	-45.99984444969585	2.597009195549965	1.0073212469431798
