principal_component	explained_variance_ratio	explained_variance_pct
1	0.1020231610932541	10.20231610932541
2	0.07382827800071058	7.382827800071058
3	0.06524426794861587	6.524426794861587
4	0.050466169679451986	5.046616967945199
5	0.03901485366123513	3.901485366123513
6	0.03013114643274574	3.013114643274574
7	0.02698565724394347	2.698565724394347
8	0.023766140203239534	2.3766140203239536
9	0.021310814306867466	2.1310814306867467
10	0.020301323946434136	2.0301323946434136
11	0.01726661516253553	1.726661516253553
12	0.016988137764352707	1.6988137764352707
13	0.015515438569169083	1.5515438569169082
14	0.014625367980852542	1.4625367980852542
15	0.014146292865402406	1.4146292865402406
16	0.012600182249803232	1.2600182249803231
17	0.012130296969321224	1.2130296969321224
18	0.011495078622485094	1.1495078622485093
19	0.011201119109969323	1.1201119109969322
20	0.010553434771196572	1.0553434771196573
21	0.010407317660464429	1.0407317660464428
22	0.010370288797027307	1.0370288797027307
23	0.010140557149545844	1.0140557149545844
24	0.009785197009629175	0.9785197009629175
25	0.009483014944161957	0.9483014944161957
26	0.00919325428880533	0.919325428880533
27	0.008675894997619931	0.8675894997619931
28	0.008401493966835438	0.8401493966835437
29	0.008214577367868459	0.8214577367868459
30	0.008116385916906062	0.8116385916906061
31	0.008114205404350306	0.8114205404350306
32	0.007957929429551432	0.7957929429551431
33	0.007684836185254646	0.7684836185254647
34	0.007580120231591767	0.7580120231591767
35	0.007247998978560237	0.7247998978560236
36	0.0071010556597959455	0.7101055659795945
37	0.00685738268379262	0.685738268379262
38	0.006767184501876041	0.676718450187604
39	0.006710385522948508	0.6710385522948509
40	0.006631112680784232	0.6631112680784231
41	0.006303800695719686	0.6303800695719686
42	0.006242327884675079	0.6242327884675078
43	0.006090719107501327	0.6090719107501327
44	0.0059284150446336555	0.5928415044633656
45	0.005876015060924888	0.5876015060924887
46	0.0056967382317538945	0.5696738231753895
47	0.005629648116488733	0.5629648116488732
48	0.005540288354459716	0.5540288354459716
49	0.005459779368479925	0.5459779368479925
50	0.005314429142991807	0.5314429142991807
51	0.005267392783699876	0.5267392783699876
52	0.005240122666325667	0.5240122666325667
53	0.005179604971527132	0.5179604971527132
54	0.0050447653953825155	0.5044765395382516
55	0.004859903842008838	0.4859903842008838
56	0.004845322099060847	0.4845322099060847
57	0.0047173349752128585	0.47173349752128585
58	0.00464693120259135	0.464693120259135
59	0.004552646816698494	0.4552646816698494
60	0.00454923713925582	0.45492371392558195
61	0.004465699001845509	0.4465699001845509
62	0.0043899760504221294	0.43899760504221297
63	0.004265332479829579	0.4265332479829579
64	0.004249704986885075	0.42497049868850756
65	0.004118741128722467	0.41187411287224673
66	0.004089092676713086	0.4089092676713086
67	0.003982080885052101	0.3982080885052101
68	0.00394049937076033	0.394049937076033
69	0.0038873159670637612	0.38873159670637614
70	0.003848765481144887	0.3848765481144887
71	0.0037486213894971764	0.37486213894971765
72	0.003681808476527699	0.3681808476527699
73	0.003602200102667446	0.3602200102667446
74	0.0035345065840099352	0.35345065840099354
75	0.003474316130686788	0.3474316130686788
76	0.0034501606189708137	0.3450160618970814
77	0.003394513296050769	0.3394513296050769
78	0.003337277831692399	0.3337277831692399
79	0.003307611082140826	0.3307611082140826
80	0.0032014684586915156	0.32014684586915154
81	0.0031851085700650467	0.31851085700650467
82	0.0031226068449487134	0.3122606844948713
83	0.00307198408387146	0.307198408387146
84	0.0030297556856736067	0.3029755685673607
85	0.0030039324073734895	0.30039324073734897
86	0.00295620188271469	0.29562018827146896
87	0.0029177254971740037	0.29177254971740035
88	0.0028534639972082015	0.28534639972082015
89	0.0028122194324418284	0.2812219432441828
90	0.0027340960951301565	0.27340960951301563
91	0.0027325594312224578	0.27325594312224577
92	0.0026775302208115466	0.26775302208115465
93	0.0026469858928349953	0.26469858928349954
94	0.002546439023011447	0.2546439023011447
95	0.002513871589202697	0.2513871589202697
96	0.0024176774027556366	0.24176774027556366
97	0.0023744926431818153	0.23744926431818153
98	0.002305313872325332	0.2305313872325332
99	0.002287709453593995	0.2287709453593995
100	0.002171346646920757	0.2171346646920757
